X,Y,Z
-0.0008521253,6.810092E-06,0.02695925
-0.0008521926,6.810092E-06,0.02696029
-0.00085226,6.810092E-06,0.02696133
-0.0008523273,6.810092E-06,0.02696237
-0.0008523947,6.810093E-06,0.02696341
-0.000852462,6.810093E-06,0.02696445
-0.0008525294,6.810093E-06,0.02696549
-0.0008525968,6.810094E-06,0.02696653
-0.0008526641,6.810094E-06,0.02696756
-0.0008527315,6.810094E-06,0.0269686
-0.0008527988,6.810094E-06,0.02696964
-0.0008528662,6.810095E-06,0.02697068
-0.0008529336,6.810095E-06,0.02697172
-0.0008530009,6.810095E-06,0.02697276
-0.0008530683,6.810096E-06,0.0269738
-0.0008531356,6.810096E-06,0.02697484
-0.0008532029,6.810096E-06,0.02697588
-0.0008532703,6.810097E-06,0.02697692
-0.0008533377,6.810097E-06,0.02697796
-0.000853405,6.810097E-06,0.026979
-0.0008534724,6.810098E-06,0.02698004
-0.0008535397,6.810098E-06,0.02698108
-0.0008536071,6.810098E-06,0.02698212
-0.0008536744,6.810099E-06,0.02698316
-0.0008537418,6.810099E-06,0.0269842
-0.0008538092,6.810099E-06,0.02698524
-0.0008538765,6.810099E-06,0.02698628
-0.0008539439,6.810099E-06,0.02698732
-0.0008540112,6.8101E-06,0.02698836
-0.0008540786,6.8101E-06,0.0269894
-0.000854146,6.8101E-06,0.02699044
-0.0008542133,6.810101E-06,0.02699148
-0.0008542807,6.810101E-06,0.02699252
-0.000854348,6.810101E-06,0.02699356
-0.0008544154,6.810102E-06,0.0269946
-0.0008544827,6.810102E-06,0.02699564
-0.0008545501,6.810102E-06,0.02699668
-0.0008546175,6.810103E-06,0.02699772
-0.0008546848,6.810103E-06,0.02699875
-0.0008547521,6.810103E-06,0.0269998
-0.0008548195,6.810104E-06,0.02700084
-0.0008548868,6.810104E-06,0.02700187
-0.0008549542,6.810104E-06,0.02700291
-0.0008550216,6.810104E-06,0.02700395
-0.0008550889,6.810104E-06,0.02700499
-0.0008551563,6.810105E-06,0.02700603
-0.0008552236,6.810105E-06,0.02700707
-0.000855291,6.810105E-06,0.02700811
-0.0008553584,6.810106E-06,0.02700915
-0.0008554257,6.810106E-06,0.02701019
-0.0008554931,6.810106E-06,0.02701123
-0.0008555604,6.810107E-06,0.02701227
-0.0008556278,6.810107E-06,0.02701331
-0.0008556951,6.810107E-06,0.02701435
-0.0008557625,6.810108E-06,0.02701539
-0.0008558299,6.810108E-06,0.02701643
-0.0008558972,6.810108E-06,0.02701747
-0.0008559646,6.810109E-06,0.02701851
-0.0008560319,6.810109E-06,0.02701955
-0.0008560992,6.810109E-06,0.02702059
-0.0008561666,6.810109E-06,0.02702163
-0.000856234,6.810109E-06,0.02702267
-0.0008563013,6.81011E-06,0.02702371
-0.0008563687,6.81011E-06,0.02702475
-0.000856436,6.81011E-06,0.02702579
-0.0008565034,6.810111E-06,0.02702683
-0.0008565708,6.810111E-06,0.02702787
-0.0008566381,6.810111E-06,0.02702891
-0.0008567055,6.810112E-06,0.02702995
-0.0008567728,6.810112E-06,0.02703099
-0.0008568402,6.810112E-06,0.02703203
-0.0008569075,6.810113E-06,0.02703306
-0.0008569749,6.810113E-06,0.0270341
-0.0008570423,6.810113E-06,0.02703514
-0.0008571096,6.810114E-06,0.02703618
-0.000857177,6.810114E-06,0.02703722
-0.0008572443,6.810114E-06,0.02703826
-0.0008573117,6.810114E-06,0.0270393
-0.0008573791,6.810114E-06,0.02704034
-0.0008574464,6.810115E-06,0.02704138
-0.0008575137,6.810115E-06,0.02704242
-0.0008575811,6.810115E-06,0.02704346
-0.0008576484,6.810116E-06,0.0270445
-0.0008577158,6.810116E-06,0.02704554
-0.0008577832,6.810116E-06,0.02704658
-0.0008578505,6.810117E-06,0.02704762
-0.0008579179,6.810117E-06,0.02704866
-0.0008579852,6.810117E-06,0.0270497
-0.0008580526,6.810118E-06,0.02705074
-0.0008581199,6.810118E-06,0.02705178
-0.0008581873,6.810118E-06,0.02705282
-0.0008582547,6.810119E-06,0.02705386
-0.000858322,6.810119E-06,0.0270549
-0.0008583894,6.810119E-06,0.02705594
-0.0008584567,6.810119E-06,0.02705698
-0.0008585241,6.810119E-06,0.02705802
-0.0008585915,6.81012E-06,0.02705906
-0.0008586588,6.81012E-06,0.0270601
-0.0008587262,6.81012E-06,0.02706114
-0.0008587935,6.810121E-06,0.02706218
-0.0008588608,6.810121E-06,0.02706322
-0.0008589282,6.810121E-06,0.02706425
-0.0008589956,6.810122E-06,0.02706529
-0.0008590629,6.810122E-06,0.02706634
-0.0008591303,6.810122E-06,0.02706737

